Timestamp,Frame_Rate,CoG_Angle,Movement_Rate
2025-04-02 09:34:24.649862,12.601441604919604,73.03787261209655,150.82921736230267
2025-04-02 09:34:24.728586,12.702606574869163,74.1057596614111,158.56929405757194
2025-04-02 09:34:24.807628,12.651501733255737,74.99098676028295,171.0161608748627
2025-04-02 09:34:24.884500,13.008637735456343,76.35629254547665,186.8026941652907
2025-04-02 09:34:24.962072,12.891249419893775,77.49717812209454,100.32633176312945
2025-04-02 09:34:25.039943,12.841751101180158,80.95784959804008,193.67932460619073
2025-04-02 09:34:25.118285,12.76454519925455,80.44385135608672,281.3979838337534
2025-04-02 09:34:25.195271,12.989374691502352,81.21077297325961,157.83574993989149
2025-04-02 09:34:25.273299,12.815912236633004,79.81403712858705,296.6030819343766
2025-04-02 09:34:25.351824,12.734797835084368,79.98339973648996,235.2717939371766
2025-04-02 09:34:25.429527,12.869515977504086,79.44705214515528,153.29854539724005
2025-04-02 09:34:25.506734,12.952193453961428,79.81918646756051,182.95893167457007
2025-04-02 09:34:25.584296,12.892911477269797,80.92225869570113,153.23141898543068
2025-04-02 09:34:25.662777,12.741937539022185,81.21835866946697,91.44115150336634
2025-04-02 09:34:25.741629,12.681986506366357,82.3177879853434,119.71535566156068
2025-04-02 09:34:25.819037,12.91856138900372,83.23584871668758,134.12894899600107
2025-04-02 09:34:25.895675,13.048357211827032,82.44223537148807,70.64679640112249
2025-04-02 09:34:25.973429,12.86107467139954,82.09812643662418,141.36519899291494
2025-04-02 09:34:26.050213,13.023546572202541,83.10513265826873,91.58568394332369
2025-04-02 09:34:26.129474,12.61654533755567,82.92041415106159,72.19345634190461
2025-04-02 09:34:26.206647,12.957899783603073,83.00413400590722,98.66155797777175
2025-04-02 09:34:26.285113,12.744373359161932,82.94102569574257,133.8658263017308
2025-04-02 09:34:26.362597,12.905890248309328,82.48059617294055,83.2530271171647
2025-04-02 09:34:26.439639,12.979933023545598,81.10015440621746,130.71265573237724
2025-04-02 09:34:26.517037,12.920230496912065,80.53694544518315,253.08689826126533
2025-04-02 09:34:26.594289,12.944648682234764,81.53970382200548,279.3716156278872
2025-04-02 09:34:26.671844,12.894075172458255,80.64963692878379,270.9926365257412
2025-04-02 09:34:26.750273,12.7503856991674,79.2021491484557,268.39552740669734
2025-04-02 09:34:26.827323,12.978585334198574,80.91413262202603,198.82923731847714
2025-04-02 09:34:26.904209,13.006269021668444,83.50844410706156,410.79472560894163
2025-04-02 09:34:26.983308,12.642384859479892,86.40053816351431,417.84197426025037
2025-04-02 09:34:27.061956,12.714881497304447,87.74558981258352,244.50368227262604
2025-04-02 09:34:27.137695,13.203237433818773,89.73578730266107,356.9759478977074
2025-04-02 09:34:27.215250,12.894075172458255,87.00653487743122,328.4594380226507
2025-04-02 09:34:27.291817,13.060456854780782,86.29804515453637,183.7131800653564
2025-04-02 09:34:27.367898,13.143886121370645,68.91989761255049,239.83106719130012
2025-04-02 09:34:27.447423,12.574662055957246,62.69347261054359,212.16556854654374
2025-04-02 09:34:27.525920,12.739340356956317,62.46389543210397,135.27185498315347
2025-04-02 09:34:27.604626,12.705511650954184,57.41186967929689,209.11022287464127
2025-04-02 09:34:27.680643,13.154952181748818,49.8359187591054,213.25337764795614
2025-04-02 09:34:27.759439,12.690999543124015,44.32876266798453,146.17627770661875
2025-04-02 09:34:27.836495,12.977574750830565,36.18365382089926,130.41919679173964
2025-04-02 09:34:27.913672,12.957228189745651,29.041451227195125,119.68372767844755
2025-04-02 09:34:27.989180,13.243629814059437,26.732947534191368,69.76968847703232
2025-04-02 09:34:28.067669,12.740638815630215,24.01378432793889,114.123991134289
2025-04-02 09:34:28.144239,13.059945148230378,21.403891038209334,117.50863432790766
2025-04-02 09:34:28.222712,12.743236527213181,18.02764485691874,129.51127603079016
2025-04-02 09:34:28.300232,12.899896800825593,17.056462390023036,86.11806389256613
2025-04-02 09:34:28.380013,12.534312680964138,15.113108467991559,70.50510227556097
2025-04-02 09:34:28.458771,12.697122831966277,15.737723171672766,24.491278132961277
2025-04-02 09:34:28.534620,13.184089440862767,21.92786430836139,87.72370968091697
2025-04-02 09:34:28.614334,12.544847830995812,23.79660140163526,77.45441019666833
2025-04-02 09:34:28.693683,12.60255327729398,24.06489962561749,53.32844532618299
2025-04-02 09:34:28.770248,13.060798014758703,24.285487602474024,65.80026315863707
2025-04-02 09:34:28.848267,12.817390635614402,20.179559776538305,63.75807234676329
2025-04-02 09:34:28.925365,12.970505071467484,17.893087054871994,41.02565926483732
2025-04-02 09:34:29.003257,12.838288912853695,17.40461430810567,69.989345235509
2025-04-02 09:34:29.080319,12.976564324829358,14.98930094098233,60.934446924633725
2025-04-02 09:34:29.158214,12.837794466910584,13.894531622596645,32.61403238820928
2025-04-02 09:34:29.236320,12.803113717256037,13.92493413942464,17.62894125916003
2025-04-02 09:34:29.313845,12.89906481780071,15.22145920624547,20.44846079314757
2025-04-02 09:34:29.390968,12.966300584780157,15.731583652786359,45.622214583350974
2025-04-02 09:34:29.467803,13.014902062861976,16.90402728188529,81.13422702677641
2025-04-02 09:34:29.544817,12.984652141169137,20.80058251613109,129.9579853370766
2025-04-02 09:34:29.622868,12.812135654892314,21.870087155387697,93.44380780801727
2025-04-02 09:34:29.701659,12.691804901575052,19.749046472700385,149.36934072296688
2025-04-02 09:34:29.780842,12.628973390753066,22.821691473036736,60.68293093943398
2025-04-02 09:34:29.858944,12.80376942972011,22.792026982013155,40.38878746793392
2025-04-02 09:34:29.936873,12.832193406819028,23.86646080568183,80.87367632272326
